date,David Bellemere,Greg Kadel,Karl Templer,Patrick Demarchelier,Seth Sabal,Nicholas Kettle,Paul Haggis,Terdema Ussery,T.J. Miller,Eric Weinberger,Michael Feinberg,Philip Berk,David Sawyer,John Moore,Jorge Domínguez,Jorge I. Domínguez,Blake Farenthold,Duane Hall,Johnny Iuzzini,Tony Tooke,Sherman Alexie,Angel Arce,Richard Meier,Michael Ferro,Mike Isabella,Robert Reece,Bill Hybels,Nicholas Nixon,William D. Strampel,Keith Raniere,John Kricfalusi,Benjamin Sparks,Benton Strong,Glenn Thrush,Justin Parish,Charlie Rose,Al Franken,Clay Johnson,Junot Díaz,Nick Miccarelli,Eric Schneiderman,Roy Frumkes,Ameer Vann,Howard Kwait,George Tyndall,Paul Rosenthal,Steve Lebsock,Mohamed Muqtar,Robert Haufrecht,Brian Linder,"Roland G. Fryer, Jr.",Nate Boulton,Andrew Kreisberg,Lou Lang,Ed Westwick,Curt Anderson,Mark Mellor,Francisco J. Ayala,Curtis Hill,Demos Parneros,Antonin Kratochvil,Sam Adams,Rick Day,Bernard Uzan,William Preucil,Michael Oreskes,Mel Watt,Andy Dick,Nick Sauer,Kevin Spacey,Les Moonves,Avital Ronell,Asia Argento,Mark Halperin,Ron Carlson,Gerard Depardieu,Chase Finlay,Steven Wilder Striegel,Leslie Moonves,John Besh,Brett Kavanaugh,Amar Ramasar,Zachary Catazaro,Cody Wilson,Adam Berkowitz,Charles Schwertner,Albert J. Alvarez,Amit Singhal,Robert Scoble,Richard DeVaul,Roy Price,Lockhart Steele,Harvey Weinstein
2017-10-01,0.01,0.00336,0.0011200000000000001,0.03,0.0,0.0,0.11428571428571428,0.0,0.04,0.0,0.0044800000000000005,0.0,0.02016,0.3673469387755102,0.011200000000000002,0.0,0.0,0.008960000000000001,0.0,0.0011200000000000001,0.24,0.02,0.08,0.01,0.02,0.0011200000000000001,0.05128205128205128,0.01904,0.0,0.0,0.01,0.01,0.00336,0.017857142857142856,0.00672,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.00336,0.0,0.0,0.0,0.0011200000000000001,0.0,0.0,0.0,0.0044800000000000005,0.4734848484848485,0.00336,0.0029008000000000003,0.0,0.03,0.0,0.00336,0.703125,0.21,0.0,0.0,0.0,0.012320000000000001,0.18518518518518517,0.0,1.8267162364384584,0.0,0.0,0.0,0.0,0.008960000000000001,0.3829787234042553,0.0,0.0,0.013888888888888888,0.037037037037037035,0.0,0.0,0.0,0.053763440860215055,0.0,0.0,0.0,0.01,0.01,0.0,0.09,0.0,16.440446127946124
2017-10-08,0.01,0.00336,0.0011200000000000001,0.05,0.0,0.0,0.17142857142857143,0.0,0.02,0.0,0.00336,0.0,0.02688,0.3673469387755102,0.00672,0.0,0.01,0.0044800000000000005,0.01,0.0044800000000000005,0.2,0.02,0.09,0.02,0.04,0.00672,0.07692307692307693,0.012320000000000001,0.0,0.0,0.01,0.0,0.0011200000000000001,0.03571428571428571,0.008960000000000001,0.0,0.0,0.05,0.01,0.0011200000000000001,0.05263157894736842,0.0016576,0.016666666666666666,0.0016576,0.0,0.00336,0.0,0.0,0.0,0.0011200000000000001,0.0,0.0,0.0,0.0011200000000000001,0.4734848484848485,0.0011200000000000001,0.0029008000000000003,0.0,0.04,0.0,0.0011200000000000001,0.703125,0.21,0.0,0.0,0.0,0.0,0.18518518518518517,0.0,1.8267162364384584,0.0,0.0,20.093878600823043,0.0,0.008960000000000001,0.5531914893617021,0.01,0.0,0.0,0.037037037037037035,0.0,0.0,0.00672,0.043010752688172046,0.0,0.0,0.0,0.01,0.01,0.0,0.77,0.0,147.96401515151513
2017-10-15,0.03,0.0011200000000000001,0.00336,0.03,0.0016576,0.0,0.11428571428571428,0.0,0.04,0.0,0.01008,0.0,0.015680000000000003,0.40816326530612246,0.00672,0.0,0.01,0.0044800000000000005,0.0,0.0,0.22,0.01,0.09,0.01,0.03,0.00336,0.10256410256410256,0.01456,0.0,0.28,0.01,0.0,0.00336,0.017857142857142856,0.008960000000000001,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0011200000000000001,0.0,0.0,0.0,0.0044800000000000005,0.0,0.0,0.0,0.00672,0.4734848484848485,0.00672,0.0029008000000000003,0.0011200000000000001,0.04,0.0,0.0044800000000000005,0.609375,0.19,0.0,0.0,0.0,0.00336,0.25925925925925924,0.0,1.8267162364384584,0.0,0.0,7.3068649457538335,0.0,0.015680000000000003,0.851063829787234,0.0,0.0,0.013888888888888888,0.1111111111111111,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.01,0.18,0.0,0.7,0.12,67.58850074822296
2017-10-22,0.02,0.00336,0.0011200000000000001,0.03,0.0016576,0.0,0.08571428571428572,0.0,0.02,0.03,0.0044800000000000005,0.0,0.01456,0.3877551020408163,0.0044800000000000005,0.0,0.01,0.00336,0.0,0.0,0.21,0.01,0.07,0.01,0.05,0.0044800000000000005,0.05128205128205128,0.02016,0.0,0.16,0.01,0.0,0.0,0.017857142857142856,0.00672,0.0,0.0,0.03,0.0,0.0,0.05263157894736842,0.0,0.016666666666666666,0.0,0.0,0.011200000000000002,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.00336,0.4734848484848485,0.00336,0.0029008000000000003,0.0,0.05,0.0,0.00336,0.65625,0.2,0.00336,0.0,0.0,0.0044800000000000005,0.18518518518518517,0.0,1.8267162364384584,0.0,0.0,3.6534324728769167,5.882352941176471,0.008960000000000001,0.9361702127659575,0.0,0.0,0.013888888888888888,1.8518518518518519,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.01,0.29,0.0,0.2,0.06,20.093878600823043
2017-10-29,0.11,0.007840000000000001,0.00672,0.03,0.0016576,0.0,0.07142857142857142,0.0,0.04,0.02,0.0044800000000000005,0.0,0.01904,0.40816326530612246,0.011200000000000002,0.0,0.01,0.0011200000000000001,0.0,0.00336,0.2,0.02,0.09,0.02,0.02,0.0,0.05128205128205128,0.01344,0.0,0.08,0.01,0.0,0.0,0.017857142857142856,0.0011200000000000001,0.0,0.0,0.03,0.0,0.0,0.0,0.0016576,0.016666666666666666,0.0,0.0,0.00672,0.0,0.0,0.0,0.00336,0.0,0.0,0.0,0.0044800000000000005,0.4734848484848485,0.00672,0.0016576,0.0011200000000000001,0.05,0.0,0.0044800000000000005,1.375,0.16,0.0,0.0011200000000000001,0.35,0.0,1.3888888888888888,0.0,168.05789375233817,0.0,0.0,1.8267162364384584,1.5294117647058822,0.008960000000000001,0.574468085106383,0.0,0.0,0.013888888888888888,0.2962962962962963,0.0,0.0,0.0011200000000000001,0.03225806451612903,0.0,0.0,0.0,0.0,0.05,0.0,0.16,0.04,14.613729891507667
2017-11-05,0.06,0.0011200000000000001,0.0,0.03,0.0,0.0,0.07142857142857142,0.0,0.05,0.0,0.005600000000000001,0.0,0.02016,0.5306122448979592,0.00336,0.0,0.01,0.00336,0.0,0.0,0.2,0.03,0.1,0.02,0.01,0.008960000000000001,0.05128205128205128,0.017920000000000002,0.0,0.96,0.01,0.01,0.00336,0.0,0.007840000000000001,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.005600000000000001,0.03,0.0,0.0,0.02128,0.0,0.0,0.24468085106382978,0.0011200000000000001,14.441287878787879,0.008960000000000001,0.0016576,0.0,0.03,0.0,0.0011200000000000001,1.1875,0.19,0.0,0.00336,0.07,0.0011200000000000001,0.3888888888888889,0.0,58.45491956603067,0.0,0.0,1.8267162364384584,0.47058823529411764,0.005600000000000001,0.425531914893617,0.0,0.0,0.013888888888888888,0.2222222222222222,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.01,0.03,0.0,0.45,0.02,9.133581182192293
2017-11-12,0.1,0.00336,0.0011200000000000001,0.04,0.0,0.0,0.05714285714285714,0.0,0.05,0.0,0.00336,0.0,0.01904,0.5306122448979592,0.01008,0.0,0.02,0.0044800000000000005,0.0,0.0011200000000000001,0.2,0.09,0.1,0.02,0.02,0.0044800000000000005,0.02564102564102564,0.017920000000000002,0.0,0.28,0.01,0.01,0.0,0.017857142857142856,0.0044800000000000005,0.0,31.054176019453795,0.04,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.02128,0.03,0.0,0.0,0.00672,0.0,0.0,1.0638297872340425,0.00336,3.0776515151515156,0.0044800000000000005,0.0016576,0.0,0.04,0.0,0.0,0.796875,0.14,0.0011200000000000001,0.00336,0.02,0.008960000000000001,0.3333333333333333,0.0,18.267162364384586,0.0,0.010869565217391304,1.8267162364384584,0.29411764705882354,0.008960000000000001,0.425531914893617,0.0,0.0,0.013888888888888888,0.16666666666666666,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.01,0.02,0.0,0.19,0.03,5.480148709315375
2017-11-19,0.03,0.0011200000000000001,0.0011200000000000001,0.02,0.0,0.0,0.05714285714285714,0.0,0.03,0.0,0.0011200000000000001,0.0,0.028,0.4897959183673469,0.008960000000000001,0.0,0.01,0.0,0.01,0.0,0.12,0.03,0.05,0.02,0.02,0.007840000000000001,0.02564102564102564,0.0168,0.0,0.08,0.01,0.0,0.0,1.7857142857142858,0.0,42.01447343808454,10.96029741863075,0.02,0.0,0.0,0.05263157894736842,0.0,0.016666666666666666,0.0016576,0.0,0.00672,0.0,0.0,0.0,0.00336,0.0,0.0,0.0851063829787234,0.0011200000000000001,1.4204545454545454,0.0011200000000000001,0.0029008000000000003,0.0011200000000000001,0.03,0.0,0.005600000000000001,0.703125,0.13,0.0,0.0,0.03,0.005600000000000001,0.4444444444444444,0.0,7.3068649457538335,0.0,0.0,0.0,0.4117647058823529,0.02016,0.44680851063829785,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0011200000000000001,0.043010752688172046,0.0,0.0,0.0,0.01,0.01,0.0,0.11,0.01,5.480148709315375
2017-11-26,0.02,0.00336,0.0011200000000000001,0.03,0.0,0.0,0.05714285714285714,0.0,0.03,0.01,0.0044800000000000005,0.0,0.02912,0.4489795918367347,0.007840000000000001,0.0,0.5,0.0,0.05,0.0011200000000000001,0.19,0.02,0.09,0.01,0.05,0.007840000000000001,0.05128205128205128,0.005600000000000001,0.0,0.04,0.01,0.0,0.0,0.32142857142857145,0.015680000000000003,5.480148709315375,3.6534324728769167,0.03,0.0,0.0011200000000000001,0.05263157894736842,0.0,0.016666666666666666,0.0,0.0,0.0044800000000000005,0.0,0.0,0.0,0.0,0.0,0.01,0.3723404255319149,0.0011200000000000001,0.946969696969697,0.00336,0.0029008000000000003,0.0,0.03,0.0,0.0044800000000000005,0.625,0.15,0.0011200000000000001,0.0,0.05,0.0044800000000000005,0.3888888888888889,0.0,5.480148709315375,0.0,0.010869565217391304,0.0,0.7058823529411765,0.008960000000000001,0.3617021276595745,0.0,0.0,0.013888888888888888,0.1111111111111111,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.02,0.01,0.0,0.14,0.01,3.6534324728769167
2017-12-03,0.02,0.0,0.0011200000000000001,0.04,0.0,0.0,0.04285714285714286,0.0,0.03,0.0,0.0,0.0,0.02128,0.5102040816326531,0.008960000000000001,0.0,0.62,0.007840000000000001,0.06,0.00336,0.16,0.02,0.07,0.01,0.02,0.0044800000000000005,0.02564102564102564,0.01344,0.0,0.04,0.02,0.0,0.0011200000000000001,0.10714285714285714,0.007840000000000001,1.8267162364384584,20.093878600823043,0.03,0.0,0.0,0.05263157894736842,0.0,0.016666666666666666,0.0016576,0.0,0.007840000000000001,0.0,0.0,0.0,0.0011200000000000001,0.0,0.0,0.07446808510638298,0.0011200000000000001,0.946969696969697,0.0044800000000000005,0.0,0.0,0.03,0.0,0.0,0.5625,0.13,0.0,0.00336,0.02,0.00336,0.2222222222222222,0.0,5.480148709315375,0.0,0.010869565217391304,0.0,0.17647058823529413,0.00336,0.46808510638297873,0.01,0.0,0.013888888888888888,0.09259259259259259,0.0,0.0,0.00336,0.021505376344086023,0.01,0.0,0.0,0.01,0.01,0.0,0.18,0.01,3.6534324728769167
2017-12-10,0.02,0.00336,0.0,0.02,0.0,0.0,0.05714285714285714,0.0,0.02,0.38,0.0,0.0,0.01344,0.673469387755102,0.005600000000000001,0.0,0.8,0.00336,0.6,0.00336,0.17,0.01,0.06,0.01,0.04,0.0044800000000000005,0.02564102564102564,0.02128,0.0016576,0.2,0.01,0.0,0.0011200000000000001,0.16071428571428573,0.005600000000000001,0.0,3.6534324728769167,0.03,0.0,0.0,0.10526315789473684,0.0,0.03333333333333333,0.0,0.0,0.011200000000000002,0.0,0.0,0.0,0.0011200000000000001,0.0,0.0,0.031914893617021274,0.0,0.7102272727272727,0.011200000000000002,0.0016576,0.0,0.02,0.0,0.0011200000000000001,0.625,0.13,0.0,0.0,0.01,0.00336,0.2777777777777778,0.0,3.6534324728769167,0.0,0.010869565217391304,1.8267162364384584,0.11764705882352941,0.007840000000000001,0.40425531914893614,0.0,0.0,0.0,0.3148148148148148,0.0,0.0,0.0,0.021505376344086023,0.0,0.0,0.0,0.01,0.01,0.0,0.3,0.01,7.3068649457538335
2017-12-17,0.02,0.00336,0.0044800000000000005,0.03,0.0,0.0,0.07142857142857142,0.0,0.24,0.04,0.00336,0.0,0.01456,0.42857142857142855,0.0044800000000000005,0.0,0.1,0.00672,0.15,0.0011200000000000001,0.11,0.01,0.03,0.01,0.04,0.0044800000000000005,0.02564102564102564,0.012320000000000001,0.0,0.12,0.02,0.0,0.0011200000000000001,0.19642857142857142,0.007840000000000001,0.0,1.8267162364384584,0.02,0.0,0.0044800000000000005,0.05263157894736842,0.0,0.05,0.0,0.0,0.00336,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0011200000000000001,0.7102272727272727,0.007840000000000001,0.0016576,0.0,0.04,0.0,0.0011200000000000001,0.625,0.12,0.0011200000000000001,0.0,0.01,0.00336,0.2777777777777778,0.01,3.6534324728769167,0.0,0.0,0.0,0.29411764705882354,0.012320000000000001,0.40425531914893614,0.01,0.0,0.0,0.1111111111111111,0.0,0.0,0.0011200000000000001,0.03225806451612903,0.0,0.0,0.0,0.01,0.0,0.0,0.11,0.01,5.480148709315375
2017-12-24,0.02,0.0022400000000000002,0.0,0.04,0.0,0.0,0.02857142857142857,0.0,0.05,0.01,0.005600000000000001,0.0,0.02016,0.3877551020408163,0.00336,0.0,0.03,0.00336,0.08,0.0,0.06,0.01,0.06,0.03,0.05,0.00672,0.05128205128205128,0.012320000000000001,0.0,0.04,0.0,0.0,0.0,0.03571428571428571,0.008960000000000001,0.0,0.0,0.03,0.0,0.0,0.10526315789473684,0.0,0.03333333333333333,0.0,0.0,0.012320000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.00672,0.7102272727272727,0.005600000000000001,0.0,0.0,0.04,0.0,0.0,0.625,0.14,0.0,0.0022400000000000002,0.0,0.0,0.2777777777777778,0.0,5.480148709315375,0.0,0.0,0.0,0.17647058823529413,0.005600000000000001,0.6595744680851063,0.0,0.0,0.027777777777777776,0.09259259259259259,0.0,0.0,0.0,0.021505376344086023,0.01,0.0,0.0,0.01,0.01,0.0,0.1,0.01,3.6534324728769167
2017-12-31,0.02,0.0044800000000000005,0.0,0.03,0.0,0.0,1.4285714285714286,0.0,0.03,0.02,0.0011200000000000001,0.0,0.017920000000000002,0.3877551020408163,0.007840000000000001,0.0,0.02,0.008960000000000001,0.02,0.012320000000000001,0.09,0.03,0.05,0.01,0.03,0.007840000000000001,0.05128205128205128,0.012320000000000001,0.0,0.04,0.01,0.0,0.0,0.03571428571428571,0.0044800000000000005,1.8267162364384584,0.0,0.03,0.0,0.00336,0.05263157894736842,0.0,0.06666666666666667,0.0,0.0,0.017920000000000002,0.0,0.0,0.0,0.0011200000000000001,0.0,0.0,0.02127659574468085,0.008960000000000001,1.1837121212121213,0.0044800000000000005,0.0016576,0.0,0.03,0.0,0.00336,0.546875,0.14,0.0,0.0,0.0,0.0,0.25925925925925924,0.0,5.480148709315375,0.0,0.0,0.0,0.11764705882352941,0.00672,0.7021276595744681,0.0,0.0,0.013888888888888888,0.09259259259259259,0.0,0.0,0.00336,0.03225806451612903,0.0,0.0,0.0,0.01,0.01,0.0,0.1,0.0,3.6534324728769167
2018-01-07,0.02,0.0,0.007840000000000001,0.03,0.0,0.0,0.32857142857142857,0.0,0.13,0.0,0.0011200000000000001,0.0,0.015680000000000003,0.3469387755102041,0.0011200000000000001,0.0,0.02,0.0011200000000000001,0.03,0.017920000000000002,0.15,0.02,0.05,0.01,0.05,0.0044800000000000005,0.05128205128205128,0.012320000000000001,0.0,0.0,0.01,0.0,0.0,0.03571428571428571,0.01008,0.0,0.0,0.03,0.0,0.00336,0.0,0.0,0.03333333333333333,0.0,0.0,0.012320000000000001,0.01,0.0,0.0,0.0011200000000000001,0.0,0.0,0.0425531914893617,0.00336,0.946969696969697,0.0044800000000000005,0.0,0.0,0.03,0.0,0.00336,0.609375,0.14,0.0044800000000000005,0.00336,0.0,0.0044800000000000005,0.2777777777777778,0.0,5.480148709315375,0.0,0.0,0.0,0.058823529411764705,0.01344,0.40425531914893614,0.01,0.0,0.013888888888888888,0.07407407407407407,0.0,0.0,0.0011200000000000001,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,9.133581182192293
2018-01-14,0.02,0.0011200000000000001,0.0011200000000000001,0.02,0.0,0.02,0.21428571428571427,0.0,0.04,0.0,0.00336,0.0,0.01456,0.3673469387755102,0.005600000000000001,0.0,0.02,0.0044800000000000005,0.01,0.011200000000000002,0.15,0.02,0.06,0.02,0.04,0.0011200000000000001,0.05128205128205128,0.007840000000000001,0.0,0.0,0.01,0.0,0.0011200000000000001,0.017857142857142856,0.007840000000000001,0.0,0.0,0.03,0.0,0.00336,0.0,0.0,0.03333333333333333,0.0,0.0,0.007840000000000001,0.02,0.024640000000000002,0.0,0.00336,0.0,0.01,0.09574468085106383,0.0044800000000000005,0.4734848484848485,0.005600000000000001,0.0029008000000000003,0.0011200000000000001,0.04,0.0,0.0011200000000000001,0.609375,0.13,0.0,0.0011200000000000001,0.0,0.0044800000000000005,0.5555555555555556,0.0,3.6534324728769167,0.0,0.0,0.0,0.058823529411764705,0.008960000000000001,0.44680851063829785,0.0,0.0,0.013888888888888888,0.05555555555555555,0.0,0.0,0.0011200000000000001,0.043010752688172046,0.0,0.0,0.0,0.01,0.01,0.0,0.1,0.0,3.6534324728769167
2018-01-21,0.03,0.0011200000000000001,0.00672,0.03,0.0012431999999999999,0.0,0.11428571428571428,0.0,0.02,0.0,0.00336,0.0,0.02688,0.40816326530612246,0.005600000000000001,0.0,0.01,0.0044800000000000005,0.0,0.0011200000000000001,0.17,0.01,0.08,0.02,0.03,0.005600000000000001,0.05128205128205128,0.008960000000000001,0.0012431999999999999,0.04,0.01,0.01,0.005600000000000001,0.017857142857142856,0.007840000000000001,0.0,0.0,0.02,0.0,0.0011200000000000001,0.0,0.0,0.05,0.0,0.0,0.007840000000000001,0.0,0.00336,0.0,0.0,0.001504272,0.02,0.02127659574468085,0.005600000000000001,0.7102272727272727,0.007840000000000001,0.004144,0.0,0.02,0.0,0.0,0.578125,0.15,0.0,0.0,0.0,0.005600000000000001,0.24074074074074073,0.0,3.6534324728769167,0.0,0.0,0.0,0.058823529411764705,0.007840000000000001,0.3617021276595745,0.01,0.0,0.013888888888888888,0.05555555555555555,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.01,0.01,0.0,0.11,0.0,1.8267162364384584
2018-01-28,0.02,0.00336,0.00336,0.02,0.0,0.0,0.08571428571428572,0.0,0.03,0.0,0.00336,0.0,0.028,0.3673469387755102,0.007840000000000001,0.0,0.01,0.0044800000000000005,0.01,0.0044800000000000005,0.12,0.02,0.07,0.01,0.04,0.008960000000000001,0.05128205128205128,0.0044800000000000005,0.0,0.0,0.01,0.0,0.007840000000000001,0.017857142857142856,0.0011200000000000001,0.0,0.0,0.03,0.0,0.00336,0.0,0.0,0.03333333333333333,0.0045584,0.0,0.008960000000000001,0.0,0.0011200000000000001,0.0,0.00336,0.0,0.02,0.0425531914893617,0.0011200000000000001,0.7102272727272727,0.008960000000000001,0.0029008000000000003,0.0,0.02,0.0,0.00336,0.640625,0.14,0.00336,0.00336,0.0,0.00336,0.2777777777777778,0.0,3.6534324728769167,0.0,0.010869565217391304,0.0,0.0,0.01344,0.3829787234042553,0.0,0.0,0.013888888888888888,0.07407407407407407,0.0,0.0,0.0044800000000000005,0.010752688172043012,0.0,0.01,0.0,0.01,0.01,0.0,0.1,0.0,3.6534324728769167
2018-02-04,0.03,0.00336,0.0044800000000000005,0.03,0.0,0.0,0.04285714285714286,0.0,0.05,0.01,0.005600000000000001,0.0,0.01008,0.3673469387755102,0.007840000000000001,0.0,0.02,0.01008,0.01,0.0,0.19,0.02,0.1,0.02,0.02,0.0,0.05128205128205128,0.01008,0.0,0.0,0.02,0.0,0.00336,0.0,0.012320000000000001,0.0,0.0,0.02,0.0,0.0011200000000000001,0.0,0.0,0.05,0.0,0.0,0.005600000000000001,0.0,0.0011200000000000001,0.0,0.0011200000000000001,0.0,0.02,0.010638297872340425,0.0011200000000000001,0.4734848484848485,0.012320000000000001,0.0029008000000000003,0.0,0.04,0.0,0.0011200000000000001,0.609375,0.17,0.0,0.0011200000000000001,0.0,0.007840000000000001,0.2037037037037037,0.01,1.8267162364384584,0.0,0.0,0.0,0.058823529411764705,0.015680000000000003,0.3191489361702128,0.0,0.0,0.027777777777777776,0.07407407407407407,0.0,0.0,0.00336,0.021505376344086023,0.0,0.0,0.0,0.01,0.0,0.0,0.08,0.0,3.6534324728769167
2018-02-11,0.04,0.02576,0.044800000000000006,0.15,0.0029008000000000003,0.02,0.04285714285714286,0.0,0.05,0.01,0.0011200000000000001,0.0,0.0168,0.3673469387755102,0.007840000000000001,0.0,0.02,0.00336,0.02,0.00336,0.2,0.02,0.09,0.01,0.04,0.005600000000000001,0.05128205128205128,0.012320000000000001,0.0,0.0,0.02,0.01,0.0044800000000000005,0.017857142857142856,0.01008,0.0,0.0,0.02,0.01,0.0,0.05263157894736842,0.0016576,0.03333333333333333,0.0,0.0,0.01344,0.0,0.0,0.0,0.0011200000000000001,0.0,0.02,0.02127659574468085,0.0044800000000000005,0.4734848484848485,0.0044800000000000005,0.0,0.0,0.02,0.0,0.0011200000000000001,0.578125,0.2,0.0011200000000000001,0.0,0.01,0.0011200000000000001,0.2037037037037037,0.0,1.8267162364384584,0.0,0.0,0.0,0.0,0.008960000000000001,0.7659574468085106,0.0,0.0,0.013888888888888888,0.05555555555555555,0.0,0.0,0.00336,0.03225806451612903,0.01,0.0,0.0,0.01,0.01,0.0,0.08,0.0,1.8267162364384584
