date,David Bellemere,Greg Kadel,Karl Templer,Patrick Demarchelier,Seth Sabal,Nicholas Kettle,Paul Haggis,Terdema Ussery,T.J. Miller,Eric Weinberger,Michael Feinberg,Philip Berk,David Sawyer,John Moore,Jorge Domínguez,Jorge I. Domínguez,Blake Farenthold,Duane Hall,Johnny Iuzzini,Tony Tooke,Sherman Alexie,Angel Arce,Richard Meier,Michael Ferro,Mike Isabella,Robert Reece,Bill Hybels,Nicholas Nixon,William D. Strampel,Keith Raniere,John Kricfalusi,Benjamin Sparks,Benton Strong,Glenn Thrush,Justin Parish,Charlie Rose,Al Franken,Clay Johnson,Junot Díaz
2017-10-01,0.01,0.00336,0.0011200000000000001,0.03,0.0,0.0,0.11428571428571428,0.0,0.04,0.0,0.0044800000000000005,0.0,0.02016,0.3673469387755102,0.011200000000000002,0.0,0.0,0.008960000000000001,0.0,0.0011200000000000001,0.24,0.02,0.08,0.01,0.02,0.0011200000000000001,0.05128205128205128,0.01904,0.0,0.0,0.01,0.01,0.00336,0.017857142857142856,0.00672,0.0,0.0,0.04,0.0
2017-10-08,0.01,0.00336,0.0011200000000000001,0.05,0.0,0.0,0.17142857142857143,0.0,0.02,0.0,0.00336,0.0,0.02688,0.3673469387755102,0.00672,0.0,0.01,0.0044800000000000005,0.01,0.0044800000000000005,0.2,0.02,0.09,0.02,0.04,0.00672,0.07692307692307693,0.012320000000000001,0.0,0.0,0.01,0.0,0.0011200000000000001,0.03571428571428571,0.008960000000000001,0.0,0.0,0.05,0.01
2017-10-15,0.03,0.0011200000000000001,0.00336,0.03,0.0016576,0.0,0.11428571428571428,0.0,0.04,0.0,0.01008,0.0,0.015680000000000003,0.40816326530612246,0.00672,0.0,0.01,0.0044800000000000005,0.0,0.0,0.22,0.01,0.09,0.01,0.03,0.00336,0.10256410256410256,0.01456,0.0,0.28,0.01,0.0,0.00336,0.017857142857142856,0.008960000000000001,0.0,0.0,0.04,0.0
2017-10-22,0.02,0.00336,0.0011200000000000001,0.03,0.0016576,0.0,0.08571428571428572,0.0,0.02,0.03,0.0044800000000000005,0.0,0.01456,0.3877551020408163,0.0044800000000000005,0.0,0.01,0.00336,0.0,0.0,0.21,0.01,0.07,0.01,0.05,0.0044800000000000005,0.05128205128205128,0.02016,0.0,0.16,0.01,0.0,0.0,0.017857142857142856,0.00672,0.0,0.0,0.03,0.0
2017-10-29,0.11,0.007840000000000001,0.00672,0.03,0.0016576,0.0,0.07142857142857142,0.0,0.04,0.02,0.0044800000000000005,0.0,0.01904,0.40816326530612246,0.011200000000000002,0.0,0.01,0.0011200000000000001,0.0,0.00336,0.2,0.02,0.09,0.02,0.02,0.0,0.05128205128205128,0.01344,0.0,0.08,0.01,0.0,0.0,0.017857142857142856,0.0011200000000000001,0.0,0.0,0.03,0.0
2017-11-05,0.06,0.0011200000000000001,0.0,0.03,0.0,0.0,0.07142857142857142,0.0,0.05,0.0,0.005600000000000001,0.0,0.02016,0.5306122448979592,0.00336,0.0,0.01,0.00336,0.0,0.0,0.2,0.03,0.1,0.02,0.01,0.008960000000000001,0.05128205128205128,0.017920000000000002,0.0,0.96,0.01,0.01,0.00336,0.0,0.007840000000000001,0.0,0.0,0.04,0.0
2017-11-12,0.1,0.00336,0.0011200000000000001,0.04,0.0,0.0,0.05714285714285714,0.0,0.05,0.0,0.00336,0.0,0.01904,0.5306122448979592,0.01008,0.0,0.02,0.0044800000000000005,0.0,0.0011200000000000001,0.2,0.09,0.1,0.02,0.02,0.0044800000000000005,0.02564102564102564,0.017920000000000002,0.0,0.28,0.01,0.01,0.0,0.017857142857142856,0.0044800000000000005,0.0,31.054176019453795,0.04,0.0
2017-11-19,0.03,0.0011200000000000001,0.0011200000000000001,0.02,0.0,0.0,0.05714285714285714,0.0,0.03,0.0,0.0011200000000000001,0.0,0.028,0.4897959183673469,0.008960000000000001,0.0,0.01,0.0,0.01,0.0,0.12,0.03,0.05,0.02,0.02,0.007840000000000001,0.02564102564102564,0.0168,0.0,0.08,0.01,0.0,0.0,1.7857142857142858,0.0,42.01447343808454,10.96029741863075,0.02,0.0
2017-11-26,0.02,0.00336,0.0011200000000000001,0.03,0.0,0.0,0.05714285714285714,0.0,0.03,0.01,0.0044800000000000005,0.0,0.02912,0.4489795918367347,0.007840000000000001,0.0,0.5,0.0,0.05,0.0011200000000000001,0.19,0.02,0.09,0.01,0.05,0.007840000000000001,0.05128205128205128,0.005600000000000001,0.0,0.04,0.01,0.0,0.0,0.32142857142857145,0.015680000000000003,5.480148709315375,3.6534324728769167,0.03,0.0
2017-12-03,0.02,0.0,0.0011200000000000001,0.04,0.0,0.0,0.04285714285714286,0.0,0.03,0.0,0.0,0.0,0.02128,0.5102040816326531,0.008960000000000001,0.0,0.62,0.007840000000000001,0.06,0.00336,0.16,0.02,0.07,0.01,0.02,0.0044800000000000005,0.02564102564102564,0.01344,0.0,0.04,0.02,0.0,0.0011200000000000001,0.10714285714285714,0.007840000000000001,1.8267162364384584,20.093878600823043,0.03,0.0
2017-12-10,0.02,0.00336,0.0,0.02,0.0,0.0,0.05714285714285714,0.0,0.02,0.38,0.0,0.0,0.01344,0.673469387755102,0.005600000000000001,0.0,0.8,0.00336,0.6,0.00336,0.17,0.01,0.06,0.01,0.04,0.0044800000000000005,0.02564102564102564,0.02128,0.0016576,0.2,0.01,0.0,0.0011200000000000001,0.16071428571428573,0.005600000000000001,0.0,3.6534324728769167,0.03,0.0
2017-12-17,0.02,0.00336,0.0044800000000000005,0.03,0.0,0.0,0.07142857142857142,0.0,0.24,0.04,0.00336,0.0,0.01456,0.42857142857142855,0.0044800000000000005,0.0,0.1,0.00672,0.15,0.0011200000000000001,0.11,0.01,0.03,0.01,0.04,0.0044800000000000005,0.02564102564102564,0.012320000000000001,0.0,0.12,0.02,0.0,0.0011200000000000001,0.19642857142857142,0.007840000000000001,0.0,1.8267162364384584,0.02,0.0
2017-12-24,0.02,0.0022400000000000002,0.0,0.04,0.0,0.0,0.02857142857142857,0.0,0.05,0.01,0.005600000000000001,0.0,0.02016,0.3877551020408163,0.00336,0.0,0.03,0.00336,0.08,0.0,0.06,0.01,0.06,0.03,0.05,0.00672,0.05128205128205128,0.012320000000000001,0.0,0.04,0.0,0.0,0.0,0.03571428571428571,0.008960000000000001,0.0,0.0,0.03,0.0
2017-12-31,0.02,0.0044800000000000005,0.0,0.03,0.0,0.0,1.4285714285714286,0.0,0.03,0.02,0.0011200000000000001,0.0,0.017920000000000002,0.3877551020408163,0.007840000000000001,0.0,0.02,0.008960000000000001,0.02,0.012320000000000001,0.09,0.03,0.05,0.01,0.03,0.007840000000000001,0.05128205128205128,0.012320000000000001,0.0,0.04,0.01,0.0,0.0,0.03571428571428571,0.0044800000000000005,1.8267162364384584,0.0,0.03,0.0
2018-01-07,0.02,0.0,0.007840000000000001,0.03,0.0,0.0,0.32857142857142857,0.0,0.13,0.0,0.0011200000000000001,0.0,0.015680000000000003,0.3469387755102041,0.0011200000000000001,0.0,0.02,0.0011200000000000001,0.03,0.017920000000000002,0.15,0.02,0.05,0.01,0.05,0.0044800000000000005,0.05128205128205128,0.012320000000000001,0.0,0.0,0.01,0.0,0.0,0.03571428571428571,0.01008,0.0,0.0,0.03,0.0
2018-01-14,0.02,0.0011200000000000001,0.0011200000000000001,0.02,0.0,0.02,0.21428571428571427,0.0,0.04,0.0,0.00336,0.0,0.01456,0.3673469387755102,0.005600000000000001,0.0,0.02,0.0044800000000000005,0.01,0.011200000000000002,0.15,0.02,0.06,0.02,0.04,0.0011200000000000001,0.05128205128205128,0.007840000000000001,0.0,0.0,0.01,0.0,0.0011200000000000001,0.017857142857142856,0.007840000000000001,0.0,0.0,0.03,0.0
2018-01-21,0.03,0.0011200000000000001,0.00672,0.03,0.0012431999999999999,0.0,0.11428571428571428,0.0,0.02,0.0,0.00336,0.0,0.02688,0.40816326530612246,0.005600000000000001,0.0,0.01,0.0044800000000000005,0.0,0.0011200000000000001,0.17,0.01,0.08,0.02,0.03,0.005600000000000001,0.05128205128205128,0.008960000000000001,0.0012431999999999999,0.04,0.01,0.01,0.005600000000000001,0.017857142857142856,0.007840000000000001,0.0,0.0,0.02,0.0
2018-01-28,0.02,0.00336,0.00336,0.02,0.0,0.0,0.08571428571428572,0.0,0.03,0.0,0.00336,0.0,0.028,0.3673469387755102,0.007840000000000001,0.0,0.01,0.0044800000000000005,0.01,0.0044800000000000005,0.12,0.02,0.07,0.01,0.04,0.008960000000000001,0.05128205128205128,0.0044800000000000005,0.0,0.0,0.01,0.0,0.007840000000000001,0.017857142857142856,0.0011200000000000001,0.0,0.0,0.03,0.0
2018-02-04,0.03,0.00336,0.0044800000000000005,0.03,0.0,0.0,0.04285714285714286,0.0,0.05,0.01,0.005600000000000001,0.0,0.01008,0.3673469387755102,0.007840000000000001,0.0,0.02,0.01008,0.01,0.0,0.19,0.02,0.1,0.02,0.02,0.0,0.05128205128205128,0.01008,0.0,0.0,0.02,0.0,0.00336,0.0,0.012320000000000001,0.0,0.0,0.02,0.0
2018-02-11,0.04,0.02576,0.044800000000000006,0.15,0.0029008000000000003,0.02,0.04285714285714286,0.0,0.05,0.01,0.0011200000000000001,0.0,0.0168,0.3673469387755102,0.007840000000000001,0.0,0.02,0.00336,0.02,0.00336,0.2,0.02,0.09,0.01,0.04,0.005600000000000001,0.05128205128205128,0.012320000000000001,0.0,0.0,0.02,0.01,0.0044800000000000005,0.017857142857142856,0.01008,0.0,0.0,0.02,0.01
2018-02-18,0.06,0.03472,0.03696,0.12,0.0058016000000000005,0.15,0.04285714285714286,1.2195121951219512,0.06,0.0,0.028,1.5151515151515151,0.028,0.3673469387755102,0.007840000000000001,0.0,0.01,0.00336,0.01,0.0011200000000000001,0.2,0.02,0.08,0.01,0.03,0.005600000000000001,0.02564102564102564,0.011200000000000002,0.0,0.0,0.01,0.0,0.005600000000000001,0.017857142857142856,0.0044800000000000005,0.0,0.0,0.01,0.0
2018-02-25,0.02,0.0044800000000000005,0.00336,0.02,0.0,0.0,0.05714285714285714,0.07317073170731707,0.05,0.0,0.01008,0.3181818181818182,0.022400000000000003,0.3469387755102041,0.02128,0.0012431999999999999,0.02,0.04032,0.0,0.008960000000000001,0.93,0.03,0.07,0.01,0.04,0.0044800000000000005,0.05128205128205128,0.011200000000000002,0.0,0.0,0.01,0.0,0.00336,0.017857142857142856,0.011200000000000002,0.0,0.0,0.04,0.01
2018-03-04,0.01,0.0,0.0011200000000000001,0.02,0.0029008000000000003,0.0,0.05714285714285714,0.024390243902439025,0.05,0.0,0.00672,0.045454545454545456,0.01456,0.4489795918367347,0.049280000000000004,0.009945599999999999,0.01,0.01904,0.0,0.07952,0.74,0.03,0.08,0.01,0.04,0.00336,0.05128205128205128,0.011200000000000002,0.0,0.0,0.01,0.0,0.0,0.017857142857142856,0.01008,0.0,0.0,0.04,0.01
2018-03-11,0.02,0.0,0.0011200000000000001,0.02,0.0,0.0,0.04285714285714286,0.0,0.03,0.0,0.00336,0.030303030303030304,0.02016,0.3673469387755102,0.01008,0.0,0.01,0.01008,0.0,0.008960000000000001,0.25,0.02,0.71,0.01,0.03,0.005600000000000001,0.05128205128205128,0.02576,0.0,0.0,0.02,0.0,0.0,0.017857142857142856,0.0044800000000000005,0.0,0.0,0.03,0.0
2018-03-18,0.01,0.0044800000000000005,0.005600000000000001,0.03,0.0012431999999999999,0.01,0.02857142857142857,0.024390243902439025,0.05,0.02,0.005600000000000001,0.045454545454545456,0.017920000000000002,0.32653061224489793,0.008960000000000001,0.0,0.02,0.01344,0.01,0.0044800000000000005,0.28,0.02,0.15,0.11,0.31,0.01344,0.6923076923076923,0.02352,0.0,0.0,0.01,0.01,0.00336,0.017857142857142856,0.008960000000000001,0.0,0.0,0.03,0.01
2018-03-25,0.01,0.0011200000000000001,0.00336,0.02,0.0016576,0.0,0.02857142857142857,0.012195121951219513,0.06,0.0,0.00336,0.045454545454545456,0.02352,0.3877551020408163,0.007840000000000001,0.0,0.01,0.008960000000000001,0.01,0.0,0.14,0.01,0.08,0.01,0.1,0.02688,0.9487179487179487,0.030240000000000003,0.007459199999999999,1.68,0.5,0.0,0.0011200000000000001,0.017857142857142856,0.012320000000000001,0.0,0.0,0.03,0.0
2018-04-01,0.01,0.00336,0.0011200000000000001,0.02,0.0,0.0,0.05714285714285714,0.0,0.1,0.0,0.0011200000000000001,0.030303030303030304,0.02576,0.3469387755102041,0.00336,0.0,0.46,0.0044800000000000005,0.01,0.0,0.17,0.03,0.13,0.02,0.11,0.03472,0.3333333333333333,0.05824,0.0,0.52,0.17,0.14,0.0011200000000000001,0.017857142857142856,0.008960000000000001,0.0,0.0,0.03,0.0
2018-04-08,0.02,0.00336,0.02688,0.02,0.0,0.0,0.02857142857142857,0.0,0.42,0.0,0.0044800000000000005,0.015151515151515152,0.01904,0.3673469387755102,0.005600000000000001,0.0,0.05,0.01344,0.01,0.0,0.17,0.01,0.12,0.01,0.04,0.01008,1.8974358974358974,0.0392,0.0,0.28,0.07,0.02,0.0011200000000000001,0.0,0.005600000000000001,0.0,0.0,0.05,0.12
2018-04-15,0.01,0.00336,0.02352,0.02,0.0,0.0,0.02857142857142857,0.0,0.09,0.0,0.0044800000000000005,0.015151515151515152,0.02352,0.3673469387755102,0.00336,0.0,0.03,0.007840000000000001,0.01,0.0011200000000000001,0.16,0.01,0.07,0.01,0.02,0.024640000000000002,0.6923076923076923,0.02016,0.0,3.16,0.04,0.01,0.0044800000000000005,0.0,0.007840000000000001,0.0,0.0,0.04,0.03
2018-04-22,0.01,0.00336,0.005600000000000001,0.02,0.0,0.0,0.02857142857142857,0.0,0.06,0.0,0.0,0.015151515151515152,0.022400000000000003,0.40816326530612246,0.00336,0.0,0.04,0.017920000000000002,0.0,0.0,0.13,0.03,0.09,0.01,0.04,0.008960000000000001,0.6923076923076923,0.008960000000000001,0.0,4.0,0.04,0.01,0.03808,0.017857142857142856,0.008960000000000001,0.0,0.0,0.02,0.01
2018-04-29,0.01,0.0011200000000000001,0.0044800000000000005,0.03,0.0,0.0,0.02857142857142857,0.0,0.08,0.01,0.0011200000000000001,0.015151515151515152,0.02016,0.46938775510204084,0.007840000000000001,0.0,0.01,0.007840000000000001,0.0,0.0,0.17,0.02,0.08,0.01,0.02,0.01008,0.3333333333333333,0.01008,0.0,0.72,0.01,0.0,0.00336,0.017857142857142856,0.012320000000000001,1.8267162364384584,0.0,0.1,0.04
2018-05-06,0.0,0.0011200000000000001,0.0011200000000000001,0.02,0.0012431999999999999,0.0,0.04285714285714286,0.0,0.07,0.0,0.00336,0.030303030303030304,0.017920000000000002,0.32653061224489793,0.0044800000000000005,0.0,0.01,0.02688,0.0,0.0,0.16,0.01,0.07,0.02,0.06,0.00336,0.3333333333333333,0.01008,0.0,0.24,0.03,0.01,0.0,0.017857142857142856,0.00336,0.0,0.0,0.06,0.04
2018-05-13,0.01,0.0,0.00336,0.02,0.0,0.0,0.04285714285714286,0.0,0.12,0.0,0.00336,0.015151515151515152,0.02128,0.32653061224489793,0.007840000000000001,0.0,0.05,0.0044800000000000005,0.0,0.0,0.11,0.01,0.07,0.02,0.02,0.00336,0.28205128205128205,0.01008,0.0016576,0.4,0.03,0.0,0.0,0.017857142857142856,0.0044800000000000005,0.0,0.0,0.04,0.02
2018-05-20,0.01,0.00336,0.01904,0.02,0.0,0.0,0.04285714285714286,0.0,0.09,0.0,0.0044800000000000005,0.015151515151515152,0.0168,0.32653061224489793,0.008960000000000001,0.0,0.02,0.005600000000000001,0.0,0.0,0.13,0.0,0.07,0.0,0.03,0.005600000000000001,0.23076923076923078,0.0044800000000000005,0.0,0.28,0.03,0.01,0.0011200000000000001,0.017857142857142856,0.005600000000000001,0.0,0.0,0.03,0.01
2018-05-27,0.05,0.0,0.005600000000000001,0.01,0.0,0.0,0.04285714285714286,0.0,0.07,0.0,0.0044800000000000005,0.0,0.02576,0.30612244897959184,0.008960000000000001,0.0,0.01,0.005600000000000001,0.01,0.0,0.1,0.01,0.05,0.02,0.03,0.007840000000000001,0.1794871794871795,0.0044800000000000005,0.0,0.64,0.03,0.0,0.0,0.07142857142857142,0.0044800000000000005,0.0,0.0,0.05,0.0
2018-06-03,0.01,0.0011200000000000001,0.005600000000000001,0.03,0.0,0.0,0.04285714285714286,0.0,0.06,0.0,0.022400000000000003,0.09090909090909091,0.017920000000000002,0.3673469387755102,0.008960000000000001,0.0,0.01,0.01008,0.01,0.0,0.09,0.01,0.06,0.01,0.02,0.00336,0.1794871794871795,0.007840000000000001,0.0,0.28,0.02,0.0,0.0011200000000000001,0.05357142857142857,0.0044800000000000005,0.0,0.0,0.04,0.01
2018-06-10,0.01,0.0011200000000000001,0.005600000000000001,0.02,0.0012431999999999999,0.0,0.04285714285714286,0.0,0.04,0.0,0.00672,0.030303030303030304,0.017920000000000002,0.3469387755102041,0.00672,0.0,0.01,0.01008,0.0,0.0011200000000000001,0.08,0.01,0.05,0.01,0.02,0.00336,0.15384615384615385,0.00336,0.0,0.16,0.02,0.0,0.0,0.08928571428571429,0.00672,0.0,0.0,0.05,0.0
2018-06-17,0.01,0.00336,0.0044800000000000005,0.02,0.0012431999999999999,0.0,0.02857142857142857,0.0,0.02,0.0,0.005600000000000001,0.015151515151515152,0.012320000000000001,0.6326530612244898,0.0011200000000000001,0.0,0.02,0.00336,0.01,0.00336,0.07,0.01,0.04,0.01,0.03,0.0044800000000000005,0.1282051282051282,0.005600000000000001,0.0,0.08,0.01,0.0,0.0,0.05357142857142857,0.0044800000000000005,0.0,0.0,0.02,0.0
2018-06-24,0.0,0.0,0.0,0.01,0.0,0.0,0.02857142857142857,0.0,0.04,0.0,0.0044800000000000005,0.015151515151515152,0.022400000000000003,0.32653061224489793,0.007840000000000001,0.0,0.01,0.00336,0.0,0.0,0.06,0.01,0.05,0.01,0.02,0.0044800000000000005,0.1282051282051282,0.005600000000000001,0.0,0.08,0.02,0.0,0.0,0.03571428571428571,0.005600000000000001,0.0,0.0,0.04,0.0
2018-07-01,0.01,0.0,0.0011200000000000001,0.03,0.0,0.0,0.02857142857142857,0.0,0.03,0.0,0.0011200000000000001,0.015151515151515152,0.02016,0.5510204081632653,0.0044800000000000005,0.0,0.02,0.007840000000000001,0.01,0.0,0.05,0.01,0.06,0.02,0.03,0.0044800000000000005,0.1794871794871795,0.0044800000000000005,0.0,0.08,0.02,0.0,0.00336,0.017857142857142856,0.0044800000000000005,0.0,0.0,0.01,0.01
2018-07-08,0.01,0.00336,0.0011200000000000001,0.01,0.0,0.0,0.04285714285714286,0.0,0.04,0.0,0.0044800000000000005,0.015151515151515152,0.02016,0.3469387755102041,0.00336,0.0,0.01,0.00336,0.01,0.0,0.07,0.01,0.04,0.01,0.02,0.0044800000000000005,0.15384615384615385,0.0044800000000000005,0.0,0.12,0.01,0.0,0.0011200000000000001,0.03571428571428571,0.005600000000000001,0.0,0.0,0.03,0.0
2018-07-15,0.01,0.00336,0.0,0.01,0.0,0.0,0.02857142857142857,0.0,0.05,0.0,0.0011200000000000001,0.015151515151515152,0.017920000000000002,0.30612244897959184,0.005600000000000001,0.0,0.01,0.007840000000000001,0.0,0.0,0.05,0.01,0.05,0.02,0.02,0.00336,0.1282051282051282,0.0011200000000000001,0.0,0.08,0.01,0.0,0.00336,0.07142857142857142,0.0011200000000000001,0.0,0.0,0.03,0.0
2018-07-22,0.01,0.0,0.0011200000000000001,0.02,0.0,0.0,0.05714285714285714,0.0,0.04,0.0,0.005600000000000001,0.015151515151515152,0.02016,0.3469387755102041,0.007840000000000001,0.0,0.01,0.0044800000000000005,0.01,0.0,0.06,0.06,0.04,0.04,0.04,0.007840000000000001,0.1282051282051282,0.007840000000000001,0.0,0.48,0.03,0.0,0.0,0.03571428571428571,0.0044800000000000005,0.0,0.0,0.04,0.0
2018-07-29,0.01,0.0011200000000000001,0.0,0.02,0.0,0.0,0.04285714285714286,0.0,0.05,0.01,0.0011200000000000001,0.015151515151515152,0.017920000000000002,0.32653061224489793,0.008960000000000001,0.0,0.0,0.007840000000000001,0.0,0.0,0.06,0.01,0.04,0.02,0.04,0.005600000000000001,0.1282051282051282,0.0011200000000000001,0.0,0.16,0.01,0.0,0.0,0.017857142857142856,0.0011200000000000001,0.0,0.0,0.03,0.0
2018-08-05,0.01,0.00336,0.0011200000000000001,0.01,0.0,0.0,0.04285714285714286,0.0,0.04,0.0,0.0011200000000000001,0.015151515151515152,0.028,0.3673469387755102,0.01456,0.0,0.0,0.0011200000000000001,0.01,0.0,0.07,0.01,0.05,0.01,0.03,0.008960000000000001,2.5641025641025643,0.00336,0.0,0.48,0.02,0.01,0.0,0.017857142857142856,0.0044800000000000005,0.0,0.0,0.04,0.0
2018-08-12,0.02,0.0044800000000000005,0.00336,0.02,0.0,0.0,0.04285714285714286,0.0,0.04,0.0,0.0011200000000000001,0.015151515151515152,0.01008,0.3673469387755102,0.00336,0.0,0.0,0.0,0.0,0.0011200000000000001,0.07,0.01,0.06,0.01,0.04,0.005600000000000001,0.9230769230769231,0.0044800000000000005,0.0,0.16,0.02,0.01,0.0011200000000000001,0.03571428571428571,0.005600000000000001,0.0,0.0,0.02,0.0
2018-08-19,0.0,0.00336,0.00336,0.01,0.0,0.0,0.02857142857142857,0.0,0.04,0.0,0.007840000000000001,0.030303030303030304,0.01904,0.3469387755102041,0.008960000000000001,0.0,0.02,0.0044800000000000005,0.0,0.0011200000000000001,0.11,0.02,0.04,0.01,0.04,0.0044800000000000005,0.5128205128205128,0.0011200000000000001,0.0,0.08,0.01,0.0,0.0011200000000000001,0.0,0.008960000000000001,0.0,0.0,0.03,0.0
2018-08-26,0.01,0.00336,0.0,0.02,0.0,0.0,0.05714285714285714,0.0,0.05,0.0,0.007840000000000001,0.015151515151515152,0.022400000000000003,0.4489795918367347,0.00672,0.0,0.0,0.01008,0.0,0.0,0.14,0.01,0.05,0.01,0.04,0.00672,0.358974358974359,0.0044800000000000005,0.0,0.04,0.02,0.0,0.0,0.017857142857142856,0.00336,0.0,0.0,0.04,0.0
2018-09-02,0.01,0.0011200000000000001,0.005600000000000001,0.01,0.0012431999999999999,0.0,0.02857142857142857,0.0,0.03,0.0,0.00336,0.015151515151515152,0.017920000000000002,0.3469387755102041,0.008960000000000001,0.0012431999999999999,0.01,0.00336,0.01,0.0011200000000000001,0.14,0.01,0.05,0.01,0.06,0.008960000000000001,0.2564102564102564,0.01008,0.0,0.08,0.02,0.0,0.0,0.017857142857142856,0.00336,0.0,0.0,0.03,0.0
2018-09-09,0.0,0.00336,0.0,0.03,0.0,0.0,0.02857142857142857,0.0,0.04,0.0,0.0011200000000000001,0.030303030303030304,0.02352,0.3673469387755102,0.008960000000000001,0.0,0.0,0.0044800000000000005,0.0,0.0,0.2,0.01,0.05,0.01,0.08,0.00672,0.20512820512820512,0.00672,0.0,0.16,0.01,0.0,0.00336,0.017857142857142856,0.00336,0.0,0.0,0.03,0.0
2018-09-16,0.01,0.0011200000000000001,0.008960000000000001,0.01,0.0,0.0,0.02857142857142857,0.32926829268292684,0.02,0.0,0.00336,0.030303030303030304,0.01344,0.32653061224489793,0.0044800000000000005,0.0,0.01,0.005600000000000001,0.0,0.0,0.2,0.01,0.07,0.01,0.04,0.005600000000000001,0.20512820512820512,0.008960000000000001,0.0,0.16,0.01,0.0,0.0,0.017857142857142856,0.0044800000000000005,0.0,0.0,0.03,0.0
2018-09-23,0.02,0.0044800000000000005,0.0044800000000000005,0.02,0.0,0.0,0.02857142857142857,0.024390243902439025,0.02,0.0,0.00336,0.015151515151515152,0.011200000000000002,0.3469387755102041,0.01456,0.0,0.01,0.0044800000000000005,0.0,0.0,0.19,0.01,0.06,0.0,0.03,0.00672,0.20512820512820512,0.01456,0.0,0.28,0.01,0.0,0.00336,0.017857142857142856,0.008960000000000001,0.0,0.0,0.03,0.0
2018-09-30,0.01,0.0011200000000000001,0.0011200000000000001,0.03,0.0,0.0,0.02857142857142857,0.012195121951219513,0.03,0.0,0.0044800000000000005,0.015151515151515152,0.017920000000000002,0.3673469387755102,0.008960000000000001,0.0,0.0,0.00336,0.0,0.0,0.18,0.03,0.05,0.0,0.03,0.0044800000000000005,0.1282051282051282,0.015680000000000003,0.0,0.12,0.01,0.0,0.0,0.017857142857142856,0.00336,0.0,0.0,0.02,0.0
